School,Grade,Prg,Total,1st Choice,2nd Choice,3rd Choice,4th Choice,5th Choice,6th Choice,7th Choice,8th Choice+
S F Community K-8- (493),K,GEN,338,20,16,18,14,11,15,10,234
Sanchez Es- (816),K,GEN,189,9,12,4,5,4,5,5,145
Serra Annex Tk- (879),TK,GEN,118,21,32,22,15,9,7,6,6
Serra Es- (656),K,GEN,170,3,10,4,4,2,4,3,140
Serra Es- (656),K,SPN,49,21,5,11,5,1,0,0,6
Sheridan Es- (820),K,GEN,177,14,13,2,2,0,2,1,143
Sheridan Tk- (884),TK,GEN,74,7,15,8,12,4,2,2,24
Sherman Es- (823),K,GEN,892,116,78,56,46,34,29,45,488
Sloat Es- (488),K,GEN,1007,71,53,69,48,44,50,45,627
Spring Valley Es- (834),K,GEN,303,11,24,14,7,6,16,6,219
Spring Valley Es- (834),K,CHN,44,10,2,7,6,6,1,2,10
Spring Valley Es- (834),K,SPN,35,16,6,0,1,4,0,2,6
Starr King Es- (838),K,GEN,208,4,5,7,5,1,1,1,184
Starr King Es- (838),K,IMMM,299,36,27,14,10,8,2,4,198
Stevenson Es- (782),K,GEN,936,36,46,55,65,60,48,40,586
Stevenson Es- (782),K,MM,11,6,4,1,0,0,0,0,0
Stockton Tk- (874),TK,GEN,73,30,5,5,6,5,4,4,14
Sunnyside Es- (842),K,GEN,828,115,54,63,50,57,28,34,427
Sunset Es- (750),K,GEN,1255,137,124,109,75,81,55,57,617
Sutro Es- (848),K,GEN,667,13,23,21,38,20,23,20,509
Sutro Es- (848),K,CHN,60,12,5,4,4,7,3,1,24
Taylor Es- (513),K,GEN,430,49,59,13,23,14,6,5,261
Taylor Es- (513),K,CHN,128,58,9,16,11,6,8,4,16
Taylor Es- (513),K,SPN,49,26,8,5,1,0,1,0,8
Tenderloin Es- (859),TK,GEN,2,0,1,0,0,0,0,0,1
Tenderloin Es- (859),K,GEN,156,29,11,14,7,3,2,0,90
Tenderloin Tk- (706),TK,GEN,26,2,2,10,3,1,1,1,6
Tule Elk Park Tk- (860),TK,GEN,127,28,21,26,20,11,4,4,13
Ulloa Es- (862),K,GEN,966,46,64,56,58,61,53,45,583
Ulloa Es- (862),K,CHN,202,49,23,39,22,10,15,17,27
Visitacion Valley Es- (867),K,GEN,163,23,10,8,10,2,2,2,106
Visitacion Valley Es- (867),K,CHN,31,13,4,7,0,1,2,0,4
Webster Es- (497),K,GEN,235,10,22,6,7,6,3,6,175
Webster Es- (497),K,IMMS,282,36,19,22,18,13,9,13,152
West Portal Es- (876),K,GEN,1368,65,109,123,100,105,86,107,673
West Portal Es- (876),K,IMMC,671,58,102,76,52,34,34,21,294
Wo Es- (801),K,GEN,480,35,19,24,18,14,9,12,349
Buena Vista/Mann K-8- (618),K,IMMS,601,117,72,58,30,26,18,17,263
Carmichael K-8- (449),K,GEN,183,26,9,5,4,1,3,1,134
Carmichael K-8- (449),K,FIL,34,9,2,0,0,0,0,0,23
Grade,Prg,Total,1st Choice,2nd Choice,3rd Choice,4th Choice,5th Choice,6th Choice,7th Choice,8th Choice+
Lawton K-8- (676),K,GEN,1355,144,130,109,96,86,73,67,650
Yu K-8- (485),K,IMMC,1013,210,99,72,54,48,31,37,462
